                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    122,                 1.3688,                 1.0229,                 1.6658,                0.82505,                0.70486,                0.83362,                0.53839,                 1.3706,                 1.2001,                 1.8955,               0.006007,               0.006007,               0.006007
                    123,                 1.4341,                 1.1122,                 1.7476,                0.83551,                0.79359,                0.87331,                0.56716,                 1.3673,                 1.2287,                 1.9093,               0.005974,               0.005974,               0.005974
                    124,                 1.3448,                 1.1952,                 1.7004,                0.86095,                0.72242,                0.84621,                0.51053,                 1.4969,                 1.2264,                  2.027,               0.005941,               0.005941,               0.005941
                    125,                 1.3895,                 1.0927,                 1.7466,                0.86761,                0.72598,                0.86189,                0.56072,                 1.3448,                 1.1634,                  1.868,               0.005908,               0.005908,               0.005908
                    126,                 1.3474,                 1.0487,                 1.6362,                0.81608,                0.77374,                0.86574,                0.58093,                 1.3217,                 1.1955,                 1.8609,               0.005875,               0.005875,               0.005875
                    127,                 1.3693,                 1.0819,                 1.7223,                0.80459,                0.74377,                0.80729,                0.53968,                 1.2876,                 1.1749,                 1.8066,               0.005842,               0.005842,               0.005842
                    128,                 1.3105,                 1.0757,                  1.686,                0.88474,                0.84686,                0.92322,                0.62014,                 1.2327,                0.99002,                 1.7242,               0.005809,               0.005809,               0.005809
                    129,                 1.3008,                0.96896,                 1.5816,                0.92225,                0.81139,                0.91135,                0.62711,                 1.2218,                0.97509,                  1.701,               0.005776,               0.005776,               0.005776
                    130,                 1.3575,                 1.1056,                 1.7189,                0.89119,                0.85053,                 0.9178,                0.62127,                 1.2298,                0.99233,                 1.7285,               0.005743,               0.005743,               0.005743
                    131,                 1.3257,                 0.9868,                 1.6937,                0.87866,                0.77936,                0.88001,                0.60103,                 1.2585,                 1.0115,                 1.7438,                0.00571,                0.00571,                0.00571
                    132,                  1.372,                 1.1091,                 1.7299,                0.91446,                0.82206,                 0.9149,                0.63355,                 1.2092,                 0.9981,                 1.7113,               0.005677,               0.005677,               0.005677
                    133,                 1.3103,                 1.0052,                 1.6252,                0.91165,                0.84457,                0.93221,                0.63621,                 1.2343,                0.94709,                 1.7259,               0.005644,               0.005644,               0.005644
                    134,                 1.2936,                 1.0176,                 1.6292,                 0.9205,                0.85409,                0.94111,                0.64232,                 1.1532,                0.89875,                 1.6652,               0.005611,               0.005611,               0.005611
                    135,                 1.2787,                0.94466,                 1.6199,                0.85921,                0.72954,                0.85116,                0.55996,                 1.3362,                 1.1535,                 1.8601,               0.005578,               0.005578,               0.005578
                    136,                 1.4064,                 1.0533,                 1.7128,                0.80084,                0.70117,                0.80787,                0.51664,                 1.4428,                 1.2341,                 1.9502,               0.005545,               0.005545,               0.005545
